FILE: acculturation.XPT
------------------------------------------------------------
SHAPE: (11372, 5)
COLUMNS: ['SEQN', 'ACD010A', 'ACD010B', 'ACD010C', 'ACD040']
SEQN present: YES

Missing %:
SEQN        0.00
ACD010A    24.38
ACD010B    99.77
ACD010C    93.94
ACD040     79.56

Full DataFrame Preview:
           SEQN  ACD010A  ACD010B  ACD010C  ACD040
194    130579.0      1.0      NaN      NaN     NaN
195    130580.0      NaN      NaN      NaN     1.0
196    130582.0      1.0      NaN      NaN     NaN
197    130584.0      NaN      NaN      NaN     5.0
198    130585.0      1.0      NaN      9.0     NaN
199    130586.0      1.0      NaN      9.0     NaN
200    130587.0      NaN      NaN      NaN     4.0
201    130588.0      1.0      NaN      NaN     NaN
202    130589.0      1.0      NaN      NaN     NaN
203    130590.0      1.0      NaN      NaN     NaN
204    130591.0      1.0      NaN      NaN     NaN
205    130592.0      1.0      NaN      NaN     NaN
206    130593.0      1.0      NaN      NaN     NaN
207    130594.0      1.0      NaN      NaN     NaN
208    130595.0      1.0      NaN      NaN     NaN
209    130596.0      NaN      NaN      NaN     1.0
210    130597.0      1.0      NaN      NaN     NaN
211    130598.0      1.0      NaN      NaN     NaN
212    130599.0      NaN      NaN      NaN     1.0
213    130600.0      1.0      NaN      NaN     NaN
214    130601.0      1.0      NaN      NaN     NaN
215    130602.0      1.0      NaN      9.0     NaN
216    130603.0      1.0      NaN      NaN     NaN
217    130604.0      1.0      NaN      NaN     NaN
218    130606.0      1.0      NaN      NaN     NaN
219    130607.0      NaN      NaN      NaN     2.0
220    130608.0      NaN      NaN      NaN     9.0
221    130609.0      NaN      NaN      NaN     4.0
222    130610.0      1.0      NaN      NaN     NaN
223    130611.0      1.0      NaN      NaN     NaN
224    130612.0      1.0      NaN      NaN     NaN
225    130613.0      1.0      NaN      NaN     NaN
226    130614.0      1.0      NaN      NaN     NaN
227    130615.0      NaN      NaN      NaN     3.0
228    130616.0      1.0      NaN      NaN     NaN
229    130617.0      1.0      NaN      NaN     NaN
230    130618.0      1.0      NaN      NaN     NaN
231    130619.0      1.0      NaN      NaN     NaN
232    130620.0      1.0      NaN      NaN     NaN
233    130621.0      1.0      NaN      NaN     NaN
234    130622.0      1.0      NaN      NaN     NaN
235    130623.0      1.0      NaN      NaN     NaN
236    130624.0      1.0      NaN      NaN     NaN
237    130625.0      1.0      NaN      NaN     NaN
238    130626.0      1.0      NaN      NaN     NaN
239    130627.0      1.0      NaN      NaN     NaN
240    130628.0      NaN      NaN      NaN     1.0
241    130629.0      1.0      NaN      NaN     NaN
242    130630.0      1.0      NaN      NaN     NaN
243    130631.0      NaN      NaN      NaN     3.0
244    130633.0      1.0      NaN      NaN     NaN
245    130634.0      1.0      NaN      NaN     NaN
246    130635.0      1.0      NaN      NaN     NaN
247    130636.0      1.0      NaN      NaN     NaN
248    130637.0      NaN      NaN      NaN     4.0
