FILE: occupation.XPT
------------------------------------------------------------
SHAPE: (8501, 6)
COLUMNS: ['SEQN', 'OCD150', 'OCQ180', 'OCQ210', 'OCQ215', 'OCQ383']
SEQN present: YES

Missing %:
SEQN       0.00
OCD150     0.19
OCQ180    50.04
OCQ210    83.05
OCQ215    46.96
OCQ383    57.49

Full DataFrame Preview:
          SEQN  OCD150   OCQ180  OCQ210  OCQ215  OCQ383
181   130626.0     4.0      NaN     NaN     NaN     3.0
182   130627.0     4.0      NaN     NaN     NaN     3.0
183   130628.0     1.0     40.0     NaN     5.0     NaN
184   130629.0     4.0      NaN     NaN     NaN     3.0
185   130630.0     4.0      NaN     NaN     NaN     2.0
186   130631.0     1.0     40.0     NaN     5.0     NaN
187   130633.0     1.0     56.0     NaN     6.0     NaN
188   130634.0     1.0     34.0     2.0     5.0     NaN
189   130636.0     1.0     45.0     NaN     5.0     NaN
190   130637.0     1.0     80.0     NaN     5.0     NaN
191   130638.0     4.0      NaN     NaN     NaN     2.0
192   130640.0     1.0     60.0     NaN     7.0     NaN
193   130642.0     1.0     45.0     NaN     5.0     NaN
194   130643.0     4.0      NaN     NaN     NaN     3.0
195   130644.0     1.0     45.0     NaN     5.0     NaN
196   130645.0     1.0     50.0     NaN     5.0     NaN
197   130646.0     4.0      NaN     NaN     NaN     3.0
198   130647.0     4.0      NaN     NaN     NaN     4.0
199   130649.0     1.0     45.0     NaN     5.0     NaN
200   130651.0     4.0      NaN     NaN     NaN     3.0
201   130652.0     2.0      NaN     1.0     6.0     NaN
202   130654.0     4.0      NaN     NaN     NaN     3.0
203   130655.0     1.0     30.0     2.0     4.0     NaN
204   130656.0     4.0      NaN     NaN     NaN     4.0
205   130658.0     4.0      NaN     NaN     NaN     3.0
206   130659.0     1.0     40.0     NaN     5.0     NaN
207   130661.0     1.0     10.0     2.0     2.0     NaN
208   130662.0     4.0      NaN     NaN     NaN     4.0
209   130663.0     4.0      NaN     NaN     NaN     3.0
210   130664.0     1.0     63.0     NaN     7.0     NaN
211   130665.0     4.0      NaN     NaN     NaN     4.0
212   130666.0     1.0     40.0     NaN     5.0     NaN
213   130667.0     1.0     50.0     NaN     5.0     NaN
214   130668.0     4.0      NaN     NaN     NaN     1.0
215   130669.0     4.0      NaN     NaN     NaN     3.0
216   130670.0     4.0      NaN     NaN     NaN     3.0
217   130671.0     3.0      NaN     NaN     NaN     NaN
218   130674.0     1.0     40.0     NaN     6.0     NaN
219   130675.0     1.0     80.0     NaN     6.0     NaN
220   130676.0     4.0      NaN     NaN     NaN     2.0
221   130678.0     1.0     45.0     NaN     5.0     NaN
222   130681.0     1.0     45.0     NaN     5.0     NaN
223   130683.0     1.0     40.0     NaN     5.0     NaN
224   130684.0     1.0     36.0     NaN     4.0     NaN
225   130686.0     4.0      NaN     NaN     NaN     4.0
226   130687.0     4.0      NaN     NaN     NaN     3.0
227   130688.0     4.0      NaN     NaN     NaN     3.0
228   130690.0     1.0     57.0     NaN     5.0     NaN
229   130691.0     1.0     40.0     NaN     5.0     NaN
230   130692.0     1.0     43.0     NaN     5.0     NaN
231   130694.0     3.0      NaN     NaN     NaN     NaN
232   130697.0     1.0     52.0     NaN     5.0     NaN
233   130701.0     1.0     70.0     NaN     7.0     NaN
234   130703.0     4.0      NaN     NaN     NaN     4.0
235   130704.0     4.0      NaN     NaN     NaN     3.0
236   130705.0     4.0      NaN     NaN     NaN     3.0
237   130707.0     1.0     50.0     NaN     5.0     NaN
238   130708.0     4.0      NaN     NaN     NaN     3.0
239   130710.0     4.0      NaN     NaN     NaN     3.0
240   130711.0     1.0     35.0     NaN     5.0     NaN
241   130712.0     3.0      NaN     NaN     NaN     NaN
242   130713.0     4.0      NaN     NaN     NaN     3.0
243   130715.0     1.0     40.0     NaN     5.0     NaN
244   130717.0     4.0      NaN     NaN     NaN     3.0
245   130718.0     4.0      NaN     NaN     NaN     4.0
246   130719.0     4.0      NaN     NaN     NaN     4.0
247   130720.0     1.0     10.0     2.0     4.0     NaN
248   130722.0     1.0     30.0     1.0     5.0     NaN
249   130723.0     1.0      5.0     2.0     3.0     NaN
250   130724.0     4.0      NaN     NaN     NaN     3.0
251   130726.0     1.0  99999.0     1.0     5.0     NaN
252   130729.0     1.0     40.0     NaN     5.0     NaN
253   130730.0     4.0      NaN     NaN     NaN     3.0
254   130733.0     4.0      NaN     NaN     NaN     3.0
255   130734.0     1.0     50.0     NaN     6.0     NaN
256   130738.0     4.0      NaN     NaN     NaN     3.0
257   130739.0     1.0     45.0     NaN     5.0     NaN
258   130741.0     1.0     20.0     1.0     5.0     NaN
259   130742.0     1.0     50.0     NaN     5.0     NaN
260   130743.0     4.0      NaN     NaN     NaN     3.0
261   130744.0     1.0     40.0     NaN     5.0     NaN
262   130745.0     1.0     40.0     NaN     6.0     NaN
263   130746.0     1.0     30.0     1.0     2.0     NaN
264   130747.0     2.0      NaN     1.0     7.0     NaN
265   130748.0     4.0      NaN     NaN     NaN     3.0
266   130749.0     2.0      NaN     1.0     4.0     NaN
267   130750.0     4.0      NaN     NaN     NaN     3.0
268   130752.0     4.0      NaN     NaN     NaN     4.0
269   130753.0     1.0     80.0     NaN     7.0     NaN
270   130754.0     4.0      NaN     NaN     NaN     7.0
271   130759.0     1.0     20.0     1.0     5.0     NaN
272   130760.0     1.0     30.0     2.0     4.0     NaN
273   130761.0     1.0     35.0     NaN     6.0     NaN
274   130762.0     1.0     40.0     NaN     5.0     NaN
275   130764.0     1.0     10.0     2.0     3.0     NaN
276   130766.0     4.0      NaN     NaN     NaN     4.0
277   130767.0     4.0      NaN     NaN     NaN     3.0
278   130768.0     4.0      NaN     NaN     NaN     3.0
279   130769.0     1.0     24.0     2.0     5.0     NaN
280   130771.0     1.0     32.0     1.0     5.0     NaN
281   130774.0     4.0      NaN     NaN     NaN     4.0
282   130775.0     1.0     30.0     2.0     4.0     NaN
283   130776.0     1.0      5.0     2.0     4.0     NaN
284   130777.0     4.0      NaN     NaN     NaN     5.0
285   130779.0     1.0     38.0     NaN     5.0     NaN
286   130780.0     1.0     32.0     1.0     5.0     NaN
287   130781.0     1.0     31.0     2.0     3.0     NaN
288   130782.0     1.0     45.0     NaN     6.0     NaN
289   130785.0     1.0     40.0     NaN     5.0     NaN
290   130786.0     4.0      NaN     NaN     NaN     3.0
291   130787.0     4.0      NaN     NaN     NaN     3.0
292   130788.0     1.0     70.0     NaN     5.0     NaN
293   130791.0     1.0     50.0     NaN     6.0     NaN
294   130793.0     1.0     30.0     2.0     5.0     NaN
295   130796.0     1.0     40.0     NaN     5.0     NaN
296   130797.0     4.0      NaN     NaN     NaN     3.0
297   130799.0     4.0      NaN     NaN     NaN     1.0
298   130800.0     1.0     45.0     NaN     7.0     NaN
299   130801.0     4.0      NaN     NaN     NaN     4.0
300   130802.0     4.0      NaN     NaN     NaN     1.0
301   130804.0     4.0      NaN     NaN     NaN     4.0
302   130805.0     1.0     40.0     NaN     5.0     NaN
303   130806.0     4.0      NaN     NaN     NaN     3.0
304   130807.0     4.0      NaN     NaN     NaN     4.0
305   130809.0     4.0      NaN     NaN     NaN     3.0
306   130810.0     4.0      NaN     NaN     NaN     3.0
307   130811.0     4.0      NaN     NaN     NaN     5.0
308   130814.0     1.0     40.0     NaN     5.0     NaN
309   130815.0     1.0     45.0     NaN     4.0     NaN
310   130818.0     1.0     42.0     NaN     5.0     NaN
311   130821.0     4.0      NaN     NaN     NaN     3.0
312   130826.0     4.0      NaN     NaN     NaN     3.0
313   130827.0     1.0     40.0     NaN     4.0     NaN
314   130828.0     4.0      NaN     NaN     NaN     2.0
315   130829.0     1.0     30.0     2.0     5.0     NaN
316   130830.0     1.0     60.0     NaN     6.0     NaN
317   130831.0     4.0      NaN     NaN     NaN     2.0
318   130832.0     3.0      NaN     NaN     NaN     NaN
319   130833.0     1.0     15.0     2.0     5.0     NaN
320   130834.0     1.0      8.0     2.0     5.0     NaN
321   130835.0     1.0     40.0     NaN     6.0     NaN
322   130836.0     1.0     37.0     NaN     3.0     NaN
323   130837.0     1.0     34.0     1.0     5.0     NaN
324   130838.0     1.0     40.0     NaN     6.0     NaN
325   130839.0     4.0      NaN     NaN     NaN     4.0
326   130840.0     4.0      NaN     NaN     NaN     2.0
327   130841.0     4.0      NaN     NaN     NaN     3.0
328   130842.0     1.0     65.0     NaN     5.0     NaN
329   130843.0     1.0     60.0     NaN     6.0     NaN
330   130844.0     1.0     70.0     NaN     4.0     NaN
331   130845.0     1.0     55.0     NaN     6.0     NaN
332   130846.0     4.0      NaN     NaN     NaN     2.0
