participant_id,Days_Physically_Active_60min,Hours_TV_Videos_Per_Day,participant_id_outlier,Days_Physically_Active_60min_outlier,Hours_TV_Videos_Per_Day_outlier
131206.0,,3.0,False,False,False
131207.0,,,False,False,False
131213.0,3.0,2.0,False,False,False
131214.0,4.0,2.0,False,False,False
131216.0,,2.0,False,False,False
131217.0,,2.0,False,False,False
131221.0,2.0,4.0,False,False,False
131223.0,,2.0,False,False,False
131226.0,4.0,3.0,False,False,False
131235.0,5.397605346934028e-79,,False,False,False
131236.0,5.397605346934028e-79,1.0,False,False,False
131237.0,,5.0,False,False,False
131252.0,,4.0,False,False,False
131259.0,,2.0,False,False,False
131261.0,5.397605346934028e-79,5.397605346934028e-79,False,False,False
131262.0,4.0,8.0,False,False,False
131274.0,4.0,5.397605346934028e-79,False,False,False
131275.0,6.0,1.0,False,False,False
131278.0,,5.0,False,False,False
131280.0,4.0,1.0,False,False,False
131289.0,,2.0,False,False,False
131295.0,5.0,5.397605346934028e-79,False,False,False
131297.0,2.0,,False,False,False
131303.0,,2.0,False,False,False
131304.0,,2.0,False,False,False
131306.0,,6.0,False,False,False
131311.0,6.0,2.0,False,False,False
131314.0,3.0,4.0,False,False,False
131317.0,,3.0,False,False,False
131319.0,5.0,2.0,False,False,False
131325.0,6.0,3.0,False,False,False
131329.0,2.0,6.0,False,False,False
131336.0,,4.0,False,False,False
131343.0,5.0,2.0,False,False,False
131344.0,,5.0,False,False,False
131345.0,,6.0,False,False,False
131354.0,5.0,5.397605346934028e-79,False,False,False
131355.0,,2.0,False,False,False
131356.0,4.0,5.0,False,False,False
131362.0,4.0,4.0,False,False,False
131364.0,4.0,1.0,False,False,False
131370.0,,1.0,False,False,False
131371.0,5.397605346934028e-79,1.0,False,False,False
131374.0,,1.0,False,False,False
131375.0,5.0,4.0,False,False,False
131376.0,6.0,2.0,False,False,False
131377.0,,6.0,False,False,False
131378.0,2.0,1.0,False,False,False
131379.0,5.0,2.0,False,False,False
131380.0,6.0,5.0,False,False,False
131382.0,4.0,2.0,False,False,False
131384.0,4.0,3.0,False,False,False
131388.0,,4.0,False,False,False
131395.0,,,False,False,False
131398.0,,5.0,False,False,False
131400.0,2.0,6.0,False,False,False
131402.0,5.0,3.0,False,False,False
131406.0,,,False,False,False
131409.0,,5.0,False,False,False
131413.0,5.0,3.0,False,False,False
131415.0,,,False,False,False
131417.0,,5.397605346934028e-79,False,False,False
131425.0,,5.397605346934028e-79,False,False,False
131429.0,5.0,,False,False,False
131430.0,,4.0,False,False,False
131434.0,3.0,4.0,False,False,False
131438.0,1.0,3.0,False,False,False
131440.0,4.0,1.0,False,False,False
131443.0,,1.0,False,False,False
131448.0,5.0,2.0,False,False,False
131454.0,5.0,2.0,False,False,False
131465.0,,1.0,False,False,False
131466.0,5.0,2.0,False,False,False
131467.0,6.0,3.0,False,False,False
131472.0,5.0,4.0,False,False,False
131475.0,5.0,2.0,False,False,False
131480.0,,2.0,False,False,False
131482.0,,3.0,False,False,False
131492.0,,,False,False,False
131493.0,5.397605346934028e-79,8.0,False,False,False
131496.0,3.0,2.0,False,False,False
131500.0,,1.0,False,False,False
131506.0,4.0,,False,False,False
131511.0,,1.0,False,False,False
131513.0,5.397605346934028e-79,5.0,False,False,False
131516.0,4.0,4.0,False,False,False
131517.0,5.0,4.0,False,False,False
131525.0,6.0,2.0,False,False,False
131526.0,5.0,1.0,False,False,False
131529.0,5.397605346934028e-79,,False,False,False
131530.0,4.0,4.0,False,False,False
131531.0,6.0,3.0,False,False,False
131534.0,,5.397605346934028e-79,False,False,False
131538.0,5.397605346934028e-79,,False,False,False
131543.0,,3.0,False,False,False
131545.0,,3.0,False,False,False
131547.0,,4.0,False,False,False
131562.0,4.0,1.0,False,False,False
131573.0,5.0,6.0,False,False,False
131574.0,5.0,3.0,False,False,False
131575.0,,5.0,False,False,False
131576.0,5.0,2.0,False,False,False
131580.0,,5.0,False,False,False
131581.0,,1.0,False,False,False
131582.0,4.0,1.0,False,False,False
131590.0,2.0,2.0,False,False,False
131595.0,3.0,2.0,False,False,False
131596.0,,5.0,False,False,False
131604.0,4.0,,False,False,False
131608.0,,2.0,False,False,False
131609.0,,2.0,False,False,False
131611.0,4.0,1.0,False,False,False
