participant_id,Type_Work_Last_Week,Hours_Worked_Last_Week,Days_Worked_Per_Week,Reason_Not_Worked_Last_Week,participant_id_outlier,Type_Work_Last_Week_outlier,Hours_Worked_Last_Week_outlier,Days_Worked_Per_Week_outlier,Reason_Not_Worked_Last_Week_outlier
130804.0,4.0,,,4.0,False,False,False,False,True
130805.0,1.0,40.0,5.0,,False,False,False,False,False
130806.0,4.0,,,3.0,False,False,False,False,False
130807.0,4.0,,,4.0,False,False,False,False,True
130809.0,4.0,,,3.0,False,False,False,False,False
130810.0,4.0,,,3.0,False,False,False,False,False
130811.0,4.0,,,5.0,False,False,False,False,True
130814.0,1.0,40.0,5.0,,False,False,False,False,False
130815.0,1.0,45.0,4.0,,False,False,False,True,False
130818.0,1.0,42.0,5.0,,False,False,False,False,False
130821.0,4.0,,,3.0,False,False,False,False,False
130826.0,4.0,,,3.0,False,False,False,False,False
130827.0,1.0,40.0,4.0,,False,False,False,True,False
130828.0,4.0,,,2.0,False,False,False,False,True
130829.0,1.0,30.0,5.0,,False,False,False,False,False
130830.0,1.0,60.0,6.0,,False,False,False,True,False
130831.0,4.0,,,2.0,False,False,False,False,True
130832.0,3.0,,,,False,False,False,False,False
130833.0,1.0,15.0,5.0,,False,False,False,False,False
130834.0,1.0,8.0,5.0,,False,False,True,False,False
130835.0,1.0,40.0,6.0,,False,False,False,True,False
130836.0,1.0,37.0,3.0,,False,False,False,True,False
130837.0,1.0,34.0,5.0,,False,False,False,False,False
130838.0,1.0,40.0,6.0,,False,False,False,True,False
130839.0,4.0,,,4.0,False,False,False,False,True
130840.0,4.0,,,2.0,False,False,False,False,True
130841.0,4.0,,,3.0,False,False,False,False,False
130842.0,1.0,65.0,5.0,,False,False,True,False,False
130843.0,1.0,60.0,6.0,,False,False,False,True,False
130844.0,1.0,70.0,4.0,,False,False,True,True,False
130845.0,1.0,55.0,6.0,,False,False,False,True,False
130846.0,4.0,,,2.0,False,False,False,False,True
130847.0,4.0,,,3.0,False,False,False,False,False
130848.0,2.0,,,,False,False,False,False,False
130854.0,4.0,,,3.0,False,False,False,False,False
130856.0,4.0,,,3.0,False,False,False,False,False
130860.0,1.0,50.0,5.0,,False,False,False,False,False
130861.0,4.0,,,3.0,False,False,False,False,False
130863.0,4.0,,,3.0,False,False,False,False,False
130864.0,4.0,,,4.0,False,False,False,False,True
130865.0,4.0,,,3.0,False,False,False,False,False
130867.0,1.0,40.0,5.0,,False,False,False,False,False
130868.0,1.0,40.0,5.0,,False,False,False,False,False
130870.0,1.0,16.0,4.0,,False,False,False,True,False
130871.0,4.0,,,3.0,False,False,False,False,False
130872.0,1.0,39.0,5.0,,False,False,False,False,False
